iso_code,year,location,total_cases_year,total_deaths_year,max_stringency_index,population,life_expectancy,max_total_vaccinations,max_people_vaccinated,max_people_fully_vaccinated,total_daily_vaccinations,num_vaccine_types,death_rate_per_100k,vaccination_rate
STP,2021,Sao Tome and Principe,2730.0,40.0,,227393,71.17810896,137612.0,86396.0,51216.0,158447.0,1.0,17.590691006319457,37.994133504549396
STP,2022,Sao Tome and Principe,2535.0,20.0,,227393,71.17810896,205085.0,113027.0,86046.0,42680.0,1.0,8.795345503159728,49.705575809281726
STP,2023,Sao Tome and Principe,457.0,3.0,,227393,71.17810896,,,,,,1.3193018254739592,
STP,2024,Sao Tome and Principe,35.0,0.0,,227393,71.17810896,,,,,,0.0,
SUR,2020,Suriname,5880.0,119.0,100.0,618046,69.78412349,,,,,,19.25423026764998,
SUR,2021,Suriname,45683.0,1067.0,89.81,618046,69.78412349,489798.0,261545.0,228253.0,490056.0,3.0,172.64087139144982,42.31804752397071
SUR,2022,Suriname,30018.0,207.0,60.87,618046,69.78412349,504529.0,267335.0,237194.0,15358.0,3.0,33.49265265044996,43.25487099665721
SUR,2023,Suriname,914.0,11.0,,618046,69.78412349,,,,,,1.7798027978499982,
SUR,2024,Suriname,6.0,2.0,,618046,69.78412349,,,,,,0.3236005086999997,
SVK,2020,Slovakia,167523.0,1773.0,87.04,5643455,74.50941328,,,,,,31.41692456128382,
SVK,2021,Slovakia,658106.0,14625.0,74.07,5643455,74.50941328,6326386.0,2752319.0,2643670.0,6364537.0,6.0,259.14975843698585,48.77010625583087
SVK,2022,Slovakia,1033058.0,4405.0,56.34,5643455,74.50941328,7052526.0,2819708.0,2763187.0,671880.0,6.0,78.05502125914,49.96421518378369
SVK,2023,Slovakia,16842.0,404.0,,5643455,74.50941328,,,,,,7.158735207421695,
SVK,2024,Slovakia,2473.0,20.0,,5643455,74.50941328,,,,,,0.354392832050579,
SVN,2020,Slovenia,115411.0,2881.0,89.81,2119843,80.41495666,11491.0,11491.0,,5660.0,5.0,135.90629117345011,0.542068445634889
SVN,2021,Slovenia,341431.0,3208.0,85.19,2119843,80.41495666,2762261.0,1250546.0,1189251.0,2740998.0,5.0,151.331961848118,58.992387643801926
SVN,2022,Slovenia,843961.0,2712.0,54.02,2119843,80.41495666,2977006.0,1264649.0,1220153.0,227388.0,5.0,127.93400265963092,59.65767276161489
SVN,2023,Slovenia,53612.0,1059.0,,2119843,80.41495666,,,,,,49.95652979961252,
SVN,2024,Slovenia,2167.0,223.0,,2119843,80.41495666,,,,,,10.519646973856084,
SWE,2020,Sweden,418129.0,9323.0,69.44,10549349,82.6649092,,,,,,88.37512153593553,
SWE,2021,Sweden,868479.0,5979.0,71.13,10549349,82.6649092,17600478.0,7675420.0,7335967.0,17667467.0,3.0,56.67648307018755,72.75728578133115
SWE,2022,Sweden,1385273.0,6701.0,42.52,10549349,82.6649092,21053545.0,7817094.0,7614496.0,3343238.0,3.0,63.52050728438314,74.10025016709561
SWE,2023,Sweden,74736.0,4683.0,,10549349,82.6649092,,,,,,44.39136481312733,
